"race_no","going","rating","winning_odds","actual_weight","on_date_weight","draw","race_class","distance","course","race_location","track","raceday","racemonth","raceyear","finish_time","predtime"
4,"GY",77,27,131,1145,11,"3",1200,"A","ST","Turf",24,4,2016,70.71,70.9816188862742
9,"G",78,7.8,131,1137,8,"3",1400,"C","ST","Turf",7,5,2016,83.05,82.2353306401578
9,"G",78,21,131,1147,6,"3",1600,"A+3","ST","Turf",29,5,2016,97.27,98.1085538020319
8,"G",77,20,130,1141,6,"3",1650,"A","HV","Turf",9,6,2016,101.64,101.482091275594
6,"GD",75,34,126,1141,3,"3",1200,"-","ST","AWT",19,6,2016,69.67,70.7795071795435
8,"G",72,19,127,1162,5,"3",1200,"B","ST","Turf",3,9,2016,69.57,70.6503675405727
8,"GF",74,9.1,127,1162,13,"3",1200,"A","ST","Turf",25,9,2016,69.44,70.532706380651
3,"GF",52,5.1,125,1140,5,"4",1200,"B+2","ST","Turf",14,6,2015,69.99,70.7899969832973
5,"FT",52,8.6,125,1131,8,"4",1200,"-","ST","AWT",5,7,2015,68.54,71.5642623365384
5,"GD",61,2,115,1154,4,"3",1200,"-","ST","AWT",18,11,2015,68.65,70.5356480913148
11,"GD",61,2.2,115,1125,7,"3",1650,"-","ST","AWT",6,12,2015,100.49,99.7281831887787
8,"GD",61,5.8,115,1116,7,"3",1650,"-","ST","AWT",9,1,2016,101.17,100.359826299732
4,"GD",60,10,133,1120,9,"4",1650,"-","ST","AWT",13,3,2016,100.67,100.927239216243
1,"G",58,13,131,1104,11,"4",1200,"A+3","ST","Turf",29,5,2016,69.45,70.612507024603
11,"GF",63,14,114,1108,3,"3",1400,"C+3","ST","Turf",19,6,2016,82.23,82.4944353010731
8,"GD",63,7.5,117,1128,2,"3",1200,"-","ST","AWT",11,9,2016,69.97,70.5404519703017
7,"GD",63,18,121,1127,10,"3",1200,"-","ST","AWT",25,9,2016,69.93,70.6858197933087
3,"G",52,8,126,1146,5,"4",1000,"B+2","ST","Turf",1,1,2016,59.02,62.0452255252652
3,"G",52,11,126,1133,13,"4",1000,"C+3","ST","Turf",13,3,2016,57.73,60.8592478188895
2,"G",50,8.6,125,1119,1,"4",1000,"C","HV","Turf",27,4,2016,58.58,60.5197990482905
3,"G",48,27,121,1120,2,"4",1000,"A+3","ST","Turf",29,5,2016,57.03,61.990863876504
2,"GD",45,55,118,1127,12,"4",1200,"-","ST","AWT",19,6,2016,70.77,71.2761130824857
1,"G",64,5.7,119,1163,8,"3",1400,"A","ST","Turf",13,12,2015,82.39,81.2686920038569
8,"G",67,2.6,125,1154,7,"R",1400,"A+3","ST","Turf",27,12,2015,82.48,81.9664536816636
11,"G",74,2.6,127,1170,6,"3",1600,"A","ST","Turf",24,1,2016,97.83,97.1417310729031
10,"G",74,6.5,127,1168,13,"3",1400,"B","ST","Turf",28,2,2016,82.59,82.5369824785956
10,"G",74,2.7,128,1175,1,"3",1400,"B+2","ST","Turf",3,4,2016,82.8,82.7157882584606
7,"Y",74,4.3,130,1168,11,"3",1400,"A","ST","Turf",24,4,2016,83.88,82.088636918139
8,"G",76,2.1,129,1171,1,"3",1400,"C+3","ST","Turf",14,5,2016,82.58,81.3888463468097
9,"G",76,4,130,1141,3,"3",1400,"B","ST","Turf",3,9,2016,83.18,82.2629504794746
2,"G",52,2.1,125,1195,8,"4",1000,"B","ST","Turf",6,9,2015,56.22,61.2355004367804
7,"G",61,2.2,115,1161,3,"3",1000,"A+3","ST","Turf",14,11,2015,56.82,63.134201495819
3,"G",68,3,122,1172,10,"3",1200,"A","ST","Turf",13,12,2015,70.26,71.2408842624053
7,"G",68,1.8,121,1160,1,"3",1200,"B+2","ST","Turf",1,1,2016,70.21,70.6444804021227
5,"G",68,3.1,122,1144,3,"3",1000,"B+2","ST","Turf",3,4,2016,56.35,62.8320267016416
5,"GF",67,15,121,1141,8,"3",1200,"C+3","ST","Turf",16,4,2016,69.56,69.9954609885687
10,"G",65,7.6,120,1123,4,"3",1400,"B","ST","Turf",1,5,2016,82.63,82.7061273755818
8,"G",64,44,117,1131,8,"3",1400,"C+3","ST","Turf",14,5,2016,82.13,81.6550345430956
6,"G",63,4.1,117,1141,4,"3",1200,"B+2","ST","Turf",5,6,2016,70.01,70.7643224613143
8,"GF",62,15,115,1139,13,"3",1200,"A","ST","Turf",26,6,2016,68.84,70.5485629217873
6,"GF",62,4.8,117,1146,4,"3",1200,"C+3","ST","Turf",18,9,2016,70.13,70.0578129591615
